Candidate,Party
Benjamin Lindberg,M
Lucas Olsgaard,M
Ewan O'Nell,M
Lars Løkke Rasmussen,M
Anders Ladegaard Bork,O
René Christensen,O
Lars Damgaard,O
Claus Engskov,O
Kim Errebo,O
Simon Hampe,O
Kim Malmberg Hansen,O
Søren Lund Hansen,O
Jan Herskov,O
Pia Kjærsgaard,O
Merete Dea Larsen,O
John Vind,O
Yadvinder Singh,Q
Jasmin Kaur,Q
Ahmet Üzümcü,Q
Xenia Anderson,Q
Charlotte Bisserup Bechfeldt,V
Morten Dahlin,V
Marcus Danielsson,V
Louise Schack Elholm,V
Malene Grandjean,V
Rasmus Hylleberg,V
Jacob Jensen,V
Stén Knuth,V
Ken Kristensen,V
Iben Krog,V
Jacob Panton,V
Ditte Rust,V
Susie Jessen,Æ
Sebastian Mylsted-Schenstrøm,Æ
Peter Skaarup,Æ
Christian Wibholm,Æ
Trine Pertou Mach,Ø
Christine Lundgaard,Ø
Ludmila Plenge Schütt,Ø
Bruno Jerup,Ø
Jonas Paludan,Ø
Anders Ladegaard Marchsteiner,Ø
Christian Tastrup,Ø
Birgit Gedionsen,Ø
Otto Mortensen,Ø
Miralem Garagic,Ø
Jan Allan Andersen,Å
Sascha Faxe,Å
Line Gessø,Å
Kirsten Kock,Å
Michael Monberg,Å
Ulla Munksgaard,Å
Katrine Ida Olsson,Å
Liselotte Katarina Rotfeld,Å
Jakob Schmidt,Å
Lisa Sofia Larsson,UDEN
Rasmus Paludan,UDEN
Niels Ole Beck,A
Tommi Christensen,A
Benny Engelbrecht,A
Kim Eskesen,A
Barbara Krarup Hansen,A
Theis Kylling Hommeltoft,A
Anders Kronborg,A
Bjørn Laursen,A
Christian Rabjerg Madsen,A
Jesper Petersen,A
Kris Jensen Skriver,A
Jens Jonatan Steen,A
Birgitte Vind,A
Anne Marie Geisler Andersen,B
Ole Lynggaard Jørgensen,B
Bjarne Lastein,B
Finn Hartvig Nielsen,B
Lasse Skov Ovesen,B
Lotte Rod,B
Nils Sjøberg,B
Rasmus Dahlberg,C
Jesper Højmark Esbensen,C
Niels Flemming Hansen,C
Steffen Hansen,C
Steen Holm Iversen,C
Birgitte Klippert,C
Dan Foss Kragh,C
Rasmus Elkjær Larsen,C
Christian Lorenzen,C
Casper Nørgaard Maglekær,C
Frederik Bloch Münster,C
Kirsten Hassing Nielsen,C
Rikke Norlyk,C
